Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
VFMO,1908,0,0.00,0,0.00,120.10,1908,0
ICLO,1899,0,0.00,0,0.00,25.59,1899,0
HSRT,1887,0,0.00,0,0.00,38.54,1887,0
PSEP,1856,0,0.00,0,0.00,33.84,1639,217
FYLD,1850,0,0.00,0,0.00,24.31,1829,21
CLSE,1835,0,0.00,0,0.00,17.03,1835,0
BUFB,1818,0,0.00,0,0.00,26.80,1818,0
FFEB,1809,0,0.00,0,0.00,41.06,1809,0
UAPR,1798,0,0.00,0,0.00,26.93,1798,0
GLOV,1744,0,0.00,0,0.00,42.24,1744,0
XISE,1695,0,0.00,0,0.00,30.63,1295,400
XSEP,1633,0,0.00,0,0.00,35.15,1633,0
EMGF,1615,0,0.00,0,0.00,42.85,1615,0
NAPR,1603,0,0.00,0,0.00,43.72,1603,0
BALI,1598,0,0.00,0,0.00,26.08,1598,0
XJUN,1598,0,0.00,0,0.00,34.44,1518,80
FMAR,1595,0,0.00,0,0.00,36.92,1595,0
EFAD,1577,0,0.00,0,0.00,36.40,1577,0
MOTI,1541,0,0.00,0,0.00,30.62,1541,0
VEGN,1536,0,0.00,0,0.00,40.89,1535,1
DINT,1527,0,0.00,0,0.00,18.10,727,800
XAUG,1500,0,0.00,0,0.00,30.70,1500,0
BFEB,1497,0,0.00,0,0.00,35.21,1497,0
FCTR,1487,0,0.00,0,0.00,25.89,1487,0
STLG,1448,0,0.00,0,0.00,39.40,1448,0
VFMF,1448,0,0.00,0,0.00,106.57,623,825
JULH,1436,0,0.00,0,0.00,25.22,1436,0
XJH,1429,0,0.00,0,0.00,34.60,1429,0
VFMV,1403,0,0.00,0,0.00,101.24,490,913
TMAT,1402,0,0.00,0,0.00,14.71,1202,200
HEEM,1391,0,0.00,0,0.00,24.34,391,1000
DDEC,1386,0,0.00,0,0.00,35.28,1386,0
JULJ,1376,0,0.00,0,0.00,25.21,1376,0
FMAG,1347,0,0.00,0,0.00,23.12,1247,100
DDWM,1344,0,0.00,0,0.00,31.24,1344,0
DMAR,1342,0,0.00,0,0.00,33.38,1342,0
GJAN,1341,0,0.00,0,0.00,33.81,1341,0
QLC,1301,0,0.00,0,0.00,50.73,1202,99
XJUL,1260,0,0.00,0,0.00,31.38,1260,0
SDVD,1259,0,0.00,0,0.00,19.00,1259,0
PJUL,1245,0,0.00,0,0.00,35.12,1245,0
IETC,1244,0,0.00,0,0.00,59.40,744,500
RSST,1207,0,0.00,0,0.00,19.63,1207,0
BAMD,1203,0,0.00,0,0.00,26.39,1203,0
SAUG,1202,0,0.00,0,0.00,19.83,1202,0
BLKC,1189,0,0.00,0,0.00,14.88,1189,0
BUFD,1187,0,0.00,0,0.00,22.14,1187,0
FOCT,1184,0,0.00,0,0.00,37.98,1184,0
FLQL,1174,0,0.00,0,0.00,45.88,1174,0
FDRV,1159,0,0.00,0,0.00,15.66,1159,0
DAUG,1153,0,0.00,0,0.00,34.46,1153,0
HEGD,1152,0,0.00,0,0.00,18.88,1152,0
SHAG,1151,0,0.00,0,0.00,46.76,1151,0
